sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
FEMENINO;SERVICIO;DISTRIBUIDORA DE;SAN JAVIER NO.1;2;13.0;2017-04-03;7000000.0;MICROEMPRESARIAL
MASCULINO;INDUSTRIA;FABRICA DE REPUESTOS;GUAYABAL;3;15.0;2017-12-29;7300000.0;MICROEMPRESARIAL
FEMENINO;INDUSTRIA;FABRICA DE;MANRIQUE CENTRAL NO. 1;2;4.0;2018-08-21;3000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;20 DE JULIO;1;13.0;2018-06-08;2000000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;VARIEDADES;LA MILAGROSA;3;9.0;2018-03-09;5000000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;PELUQUERIA;ARANJUEZ;2;4.0;2018-09-24;7800000.0;MICROEMPRESARIAL
FEMENINO;SERVICIO;RECREATIVO EDUCATIVO;CASTILLA;3;5.0;2018-12-17;7500000.0;MICROEMPRESARIAL
MASCULINO;COMERCIO;DISTRIBUIDORA DE;VILLA HERMOSA;3;8.0;2017-08-04;7300000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;RESTAURANTE;MANRIQUE CENTRAL NO. 1;2;4.0;2018-09-27;6000000.0;MICROEMPRESARIAL
FEMENINO;COMERCIO;ALMACEN DE ROPA EN;BUENOS AIRES;3;9.0;2017-06-14;7300000.0;MICROEMPRESARIAL
